Id,English,Portuguese
1359,dill,endro
1360,bay leaf,louro (folha)
1361,lavender,lavanda
1362,chamomile,camomila
1363,jasmine,jasmim
1364,rose,rosa
1365,lily,lírio
1366,daisy,margarida
1367,tulip,tulipa
1368,orchid,orquídea
1369,chrysanthemum,crisântemo
1370,carnation,cravo
1371,poppy,papoula
1372,violet,violeta
1373,pansy,amor-perfeito
1374,marigold,calêndula
1375,hibiscus,hibisco
1376,lotus,lótus
1377,fern,samambaia
1378,moss,musgo
1379,pine,pinheiro
1380,oak,carvalho
1381,maple,bordo
1382,birch,bétula
1383,willow,salgueiro
1384,aspen,álamo
1385,cedar,cedro
1386,cypress,cipreste
1387,redwood,sequoia
1388,spruce,abeto
1389,fir,pinheiro-abeto
1390,eucalyptus,eucalipto
1391,bamboo,bambu
1392,palm,palmeira
1393,rubber tree,seringueira
1394,mahogany,mogno
1395,teak,teca
1396,rosewood,jacarandá
1397,sandalwood,sândalo
1398,ebony,ébano
1399,flax,linho
1400,hemp,cânhamo
1401,jute,juta
1402,sisal,sisal
1403,agave,agave
1404,aloe vera,babosa
1405,cactus,cacto
1406,mushroom,cogumelo
1407,truffle,trufa
1408,yeast,fermento
1409,mold,mofo
1410,penicillin,penicilina
1411,bacteriophage,bacteriófago
1412,antibiotic,antibiótico
1413,vaccine,vacina
1414,remedy,remédio
1415,drug (medicine),droga/medicamento
1416,pharmacy,farmácia
1417,hospital,hospital
1418,nurse,enfermeira/enfermeiro
1419,doctor,médico/médica
1420,surgeon,cirurgião/cirurgiã
1421,dentist,dentista
1422,patient,paciente
1423,symptom,sintoma
1424,diagnosis,diagnóstico
1425,therapy,terapia
1426,treatment,tratamento
1427,cure,curar/cura
1428,infection,infecção
1429,inflammation,inflação (médico: inflamação)
1430,allergy,alergia
1431,headache,dor de cabeça
1432,fever,febre
1433,pain,dor
1434,ache,dor incômoda
1435,fracture,fratura
1436,wound,ferida
1437,surgery,cirurgia
1438,bandage,bandagem
1439,plaster,gesso
1440,crutch,muleta
1441,wheelchair,cadeira de rodas
1442,ambulance,ambulância
1443,emergency,emergência
1444,ward,enfermaria
1445,infirmary,enfermaria
1446,laboratory,laboratório
1447,microscope,microscópio
1448,scan (medical),escanear/raio-x
1449,x-ray,raio-x
1450,ultrasound,ultrassom
1451,stethoscope,estetoscópio
1452,thermometer,termômetro
